run,time,country,Yprod,Export,Import,nFirm,avWage,nOccupied,avPhi,phiCountry,nBank,publicDeficit,publicDebt,avPrice,bankLoan,bankBonds,cbBonds,netWorthFirm,enteringFirm,exitingFirm,enteringFirmTradable,exitingFirmTradable,enteringBank,exitingBank,netWorthBank,nFirmTradable,nfirmNotTradable,netWorthFirmTradable,avPhiTradable,avPhiNotTradable,avPCTradable,avPCNotTradable,Saving,nCreditLink,averageFirmProfit,adjust,Ysold,Salvatage,badDebt,taxRate,G,creditCapitalInflow,creditCapitalOutflow,creditBondInflow,creditBondOutflow,ExpenditureC,disposableIncomeC,productionSoldValue,changeInventoryValue,inventoryQuantity,rDiscount,loanDemanded,averageInterestRate,inventoryValue,productionQuantity,EnterValue,innovationExpenditure,labPolicy,nWorkerDesired,whichPolicy,HI,profitRate,wageShare,xESum,xESumTradable,innovationExpenditureCorr,probInn,innSuccess,innovationExpenditureWeighted,loanReceived,xProducing,CA,PrivateSaving,diffCreditFlow,diffBondFlow
0,0,0,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,1,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,2,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,3,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,0,4,0,0,0,0,1.0,0,0,1.0,0,200.0,200.0,1.0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000173,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,0,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,1,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,2,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,3,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,1,4,0,0,0,0,1.0,0,0,1.0,0,200.0,400.0,1.0,0,0,400.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,200.00000000000176,0,0,no,0,0,0,0.4,200.0,0,0,0,0,0,200.00000000000176,0,0,0,0.001,0,0,0,0,0,0,no,0,nn,0,0,0,0,0,0,0,0,0,0,0,0,200.00000000000176,0,0
0,2,0,143.6387800402618,52.82903596113266,50.984274558933414,11,1.0044669932885442,143.0,1.0,1.0,1,142.5444879838954,542.5444879838954,1.004466993288544,30.91793395917081,363.35696807706404,233.15832529686662,110,11,0,5,0,1,0,40.0,5,6,50,1.0,1.0,1.0096760369237354,1.0001261235925512,147.9892493860936,11,0.0,no,143.6387800402618,0,0,0.4,200.0,27.638780040261793,24.91793395917081,238.94225493328827,292.9130603233236,141.79401863806297,286.1832680241572,143.6387800402618,1.071987878829487e-14,1.0658141036401503e-14,0.001,33.63878004026179,0.0020880847689107116,1.071987878829487e-14,143.0,150.0,0,no,143.0,nn,0.09091871256888484,0.0,1.0,110.0,50.0,0.0,0.0,0,0.0,33.63878004026179,132.0,1.839898772416042,144.38438675631102,-0.004862629783204397,0
0,2,1,143.27714067982143,74.17085572280128,51.46490371267914,11,1.001938046712038,143.0,1.0,1.0,1,142.68914372807154,542.6891437280716,1.001938046712038,24.272710879702572,369.676715732136,162.8067431184221,110,11,0,7,0,1,0,40.0,7,4,70,1.0,1.0,1.0,1.005329628458105,169.06709573819265,11,0.0,no,143.27714067982143,0,0,0.4,200.0,30.277140679821436,21.272710879702572,293.0521376131585,282.8464527356446,120.57118866969999,285.966284407893,143.27714067982143,1.0658141036401503e-14,1.0658141036401503e-14,0.001,33.277140679821436,0.002616066919971556,1.0658141036401503e-14,143.0,150.0,0,no,143.0,nn,0.09091249228051644,0.0,1.0,110.0,70.0,0.0,0.0,0,0.0,33.277140679821436,132.0,22.688837324330642,165.37798105240148,-0.017114685791497664,0
0,2,2,144.32650775621357,33.64215192939214,59.83107974910037,11,1.009276278015479,143.0,1.0,1.0,1,142.26939689751467,542.2693968975146,1.0092762780154798,41.14989592683742,353.7439610537547,176.97086070979947,110,11,0,3,0,1,0,40.0,3,8,30,1.0,1.0,1.00988374136839,1.0090484792581393,119.45246907780557,11,0.0,no,144.3265077562136,0,0,0.4,200.0,28.229281477615515,35.052669648239345,272.0528714198655,260.4982962859047,170.51543557592186,286.59590465372855,144.3265077562136,3.5558712055090524e-15,3.552713678800501e-15,0.001,34.32650775621359,0.0016177091834298247,3.5558712055090524e-15,143.0,150.0,0,no,143.0,nn,0.09092611001423728,0.0,1.0,110.0,30.0,0.0,0.0,0,0.0,34.32650775621359,132.0,-26.17510807710891,116.094288820406,0.013819742599316953,0
0,2,3,143.95191441279405,52.06896758370615,52.70899760999987,11,1.0066567441454128,143.0,1.0,1.0,1,142.41923423488248,542.4192342348825,1.0066567441454128,30.200231844533192,364.35649112698115,141.02900090106976,110,11,0,5,0,1,0,40.0,5,6,50,1.0,1.0,1.0068795549895904,1.006471068441932,145.5232042085879,11,0.0,no,143.95191441279403,0,0,0.4,200.0,30.951914412794036,27.200231844533192,330.87573288327815,293.8419906764466,144.59194443908805,286.3711486476771,143.95191441279403,7.105427357601002e-15,7.105427357601002e-15,0.001,33.95191441279404,0.002168916418762955,7.105427357601002e-15,143.0,150.0,0,no,143.0,nn,0.09092705966631903,0.0,1.0,110.0,50.0,0.0,0.0,0,0.0,33.95191441279404,132.0,-0.647961583765543,141.77127265111724,-0.007931557471820838,0
0,2,4,144.08184043024565,51.808672018525684,49.53042758484502,11,1.007565317694026,143.0,1.0,1.0,1,142.36726382790187,542.3672638279019,1.0075653176940256,42.73541070909251,351.9382456781277,195.25221497804483,110,11,0,5,0,1,0,40.0,5,6,50,1.0,1.0,1.004044203684363,1.0104995793687463,148.06550826158187,11,0.0,no,144.08184043024565,0,0,0.4,200.0,31.081840430245656,39.73541070909251,299.10907416899715,303.932270997268,141.80359599656524,286.44910425814766,144.08184043024565,1.0765900269521194e-14,1.0658141036401503e-14,0.001,34.081840430245656,0.0015409921576175585,1.0765900269521194e-14,143.0,150.0,0,no,143.0,nn,0.09092416188608553,0.0,1.0,110.0,50.0,0.0,0.0,0,0.0,34.081840430245656,132.0,2.294333564127861,144.66159739202965,0.01608913044719884,0
0,3,0,320.09054986800584,94.45877068178763,117.27755160536651,24,0.9973824335512556,314.98942870618856,1.0053718875288868,1.0,3,72.69422432575129,615.2387123096471,1.0161945789189495,78.3187240294402,494.5187052159167,91.47265767313274,240.0051566403523,13,0,4,0,2,0,119.86792041692091,9,15,90.001874806251,1.0,1.0,1.0273852854247625,1.0094438880299426,50.20452125131072,35,0.0003294908916162458,no,320.09054986800584,0,0,0.40383460013401495,200.0,64.32973657916375,64.17910622302,388.4135379283925,359.16618850779435,342.9093307915845,391.3481575965538,320.0905498680058,4.466248614837864e-14,4.973799150320701e-14,0.0026922703884400137,78.46935438558397,0.0036856646352238045,4.9733608827847276e-14,314.98942870618856,210.00381580536262,4.309163401207851,no,314.989859737112,nn,0.04168721485153747,0.0003601117962869178,0.9764291131509587,242.4915497809267,91.26618270972955,4.289999999999999,2.9481618131448375,8,0.1828868535571831,78.46935438558397,290.989859737112,-22.76200615397329,49.93221817177815,0.002803964215246424,0.0539708053903496
0,3,1,319.5212492725447,149.06668655936184,107.92695474846101,24,1.001770002116761,314.8331186806221,1.0042976171743767,1.0,3,72.27014710595469,614.9592908340283,1.0148908431602406,80.78040380481426,512.0472787807932,98.39348653344348,240.00518755187557,13,0,7,0,2,0,119.84062473019,14,10,140.003066,1.0,1.0,1.0117085859519475,1.0193459140598968,115.48505033705847,35,0.0003324015847455413,no,319.52124927254476,0,0,0.40383373375914905,200.0,53.6081814207049,54.704548484476646,408.6643564654148,404.1458309456234,278.3815174616433,392.0897613658634,319.5212492725447,3.750455892623049e-14,3.730349362740526e-14,0.0026922703884400137,79.68403674104249,0.0036450382286137522,3.750455892623049e-14,314.8331186806221,210.00405872513562,4.298314220394642,no,314.83364428062214,nn,0.04168377740496131,0.00036156033509779134,0.9829706877172412,242.36137023385183,141.3763718188526,4.289999999999998,2.9481885531333982,8,0.18138595080703285,79.68403674104249,290.83364428062214,41.13484695760323,113.40499406355845,0.005320831579695096,-0.010205684877291787
0,3,2,323.99186392927874,102.09618827351477,125.730636685953,24,1.012381803865608,314.463834319734,1.0022554111947333,1.0,3,71.07681505035976,613.3462119478739,1.0302992858627331,70.18323751586283,480.98017408392843,143.0110916587666,240.00499610234965,13,0,6,0,2,0,119.90606440630172,9,15,90.00189058302705,1.0,1.0,1.0258128718743538,1.0329767326841126,47.548774706931354,35,0.0003239846856564078,no,323.9918639292788,0,0,0.40143447201754656,200.0,82.68226296944489,70.18323751586284,345.27636967199885,355.9214234668198,347.6263123417165,393.8586235343211,323.9918639292788,2.8172923736958864e-14,3.019806626980426e-14,0.0026922703884400137,82.68226296944488,0.00439879546266237,2.995243810306766e-14,314.463834319734,210.0033447533527,4.329795232686407,no,314.463834319734,nn,0.041684417458438185,0.00035120613357411315,0.9805180947060708,242.05319526644504,90.44069333994122,4.289999999999997,2.9481299383166224,6,0.1823147388905523,82.68226296944488,290.463834319734,-23.694920045079883,47.381895005282104,-0.04891705750648612,-0.011554575135164669
0,3,3,324.8387000871787,105.05949354797315,114.96269678027642,24,1.0077842714240144,315.1676545348258,1.0039237054228027,1.0,3,71.40138339179543,613.8206176266809,1.0306854000186885,72.718941559217,500.8864688762674,171.86977293547085,240.00501050052867,13,0,5,0,2,0,119.86856442930078,10,14,100.00210394602853,1.0,1.0,1.0312322147130932,1.0302932724088998,60.2993563220541,35,0.0003268687414113946,no,324.8387000871787,0,0,0.40283646184893523,200.0,71.1794899807675,61.96387950633462,376.14412411233303,435.07974829739027,334.7419033194816,393.4256618193934,324.8387000871787,9.235606166254937e-15,1.5987211554602254e-14,0.0026922703884400137,81.93455203364991,0.004195160230525785,1.630285299108007e-14,315.1676545348258,210.00325612292767,4.3185574323838205,no,315.1676545348258,nn,0.04168232546479094,0.00035500564981038045,0.974114503975384,242.63971211235483,101.352088322893,4.289999999999999,2.9481259169050515,6,0.18226042650027216,81.93455203364991,291.1676545348258,-9.976973619449296,61.42440977234501,-0.036736644940873475,-0.03703374220515343
0,3,4,322.73969800022314,129.33442194263165,114.11772118521247,24,1.010877805878682,314.51913081795647,1.0029185629763762,1.0,3,71.21674232724786,613.5840061551474,1.0261369385095522,103.03437654891468,473.4599220692832,104.30928104637593,240.00507437033238,13,0,7,0,2,0,119.87750732265827,12,12,120.00258508718542,1.0,1.0,1.0232109292291909,1.02905946734477,88.03311850379508,35,0.0003259385572584387,no,322.73969800022314,0,0,0.40715289502825747,200.0,58.11872830024578,78.8876275206327,400.55879146192825,364.7439884224395,307.5229972428041,393.6212861096045,322.73969800022314,2.1080538094634415e-14,3.019806626980426e-14,0.0026922703884400137,82.26547732852774,0.0029766601836095532,2.979956478352187e-14,314.5191308179564,210.00334906703853,4.32245521290737,no,314.526979303155,nn,0.041684789175405954,0.00035286198722605627,0.9823564099259173,242.10581608596257,120.97819105134586,4.29,2.94813833712465,9,0.18172749677773356,82.26547732852774,290.526979303155,15.29905286089857,86.51579518814796,0.07752890665247492,0.004823196826919229
0,4,0,468.13064005823276,124.82512044546857,136.59625898257082,34,0.9957544591648837,449.25039642497313,1.0134261619071323,1.0053093432072648,4,16.989132609477878,632.2278449191259,1.0315473488483504,151.291208665144,508.494659335176,56.90050604272267,339.21785786569274,10,0,4,0,1,0,160.05210209926432,13,21,129.5754164002008,1.0066603862002268,1.004594612543023,1.038813955964088,1.0270799270041473,38.43814289596573,58,0.004168365791833273,no,465.96199669718294,0,0,0.4110715343085107,200.0,98.1020730944993,131.6441708205109,442.5594914433874,375.72681190215957,437.3767431753571,475.6569022974667,425.60560463825493,40.35639205892801,41.042901966059524,0.008672607906009357,117.74911093913248,0.007568924636429156,40.35639205892805,453.63240172427555,139.96894930933104,9.60271649604017,no,449.2718927116202,nn,0.03078064492539759,0.0046257447763322175,0.9527418860631982,349.4323228453896,133.45008418387783,9.399776223145485,6.455296333214794,11,0.28888157974813566,117.74911093913248,419.31878741446747,-11.903115341705757,5.086017267771156,0.3373894119683598,-0.4693662165718706
0,4,1,473.73044591102524,200.07207819921848,128.01563668183903,36,1.0060590613314906,455.0468932756122,1.011945977385296,1.0042559312893344,4,13.604748097693545,628.5640389317234,1.0354314805450653,122.84879263900694,624.8288360423346,94.08293908015457,358.768818155298,12,0,7,0,1,0,160.02699903738193,21,15,209.44277264118602,1.0073674051844168,1.0,1.0291261013124942,1.0435092955940806,102.79708130018949,60,-0.0010476458705733357,no,472.72512300559157,0,0,0.413938109668735,200.0,93.47170399341013,86.20700601308197,426.59966670822155,516.9474028989875,378.86914879200964,481.33955299919927,450.9255903093891,21.799532696202437,22.092844965958065,0.008672607906009357,130.11349061933512,0.010351819078949364,21.79953269620247,457.58819041558223,159.95829656321536,9.188678527603939,no,477.6499932947146,nn,0.02949406054168185,-0.001500584541061762,0.9608127472324892,370.19061855708026,215.5654082011822,9.015489629815333,6.190689581561905,13,0.2627484400000006,130.11349061933512,444.22874226849643,71.88145227050958,85.48620036820547,-0.07089174087826677,-0.10409750599160361
0,4,2,433.37366129058444,109.20544902127092,141.1081568729466,31,1.0092134908373736,411.6133009390066,1.0096541811092468,1.00226079054639,4,30.413137695278124,643.7593496431509,1.047722877535795,107.62197958330056,522.7426731140189,109.95679995918749,309.2815554587587,7,0,2,0,1,0,160.02841757817583,11,20,109.84954183662559,1.0013276332015124,1.0028090997855166,1.0482246902691807,1.0474519149890913,36.66684975018575,55,0.003502021060625952,no,431.00837475818537,0,0,0.4091424651733962,200.0,98.44900225113322,90.21943040345161,462.98902122321664,451.9291446532724,420.98833948706874,457.4986907806303,389.08563163539316,41.92274312279222,42.31008929118386,0.008672607906009357,115.85155143098217,0.010562438095018993,41.92274312279224,413.67320446006124,109.91425767203776,9.719755917878361,no,411.620835211456,nn,0.03339976699447717,0.003411914851360035,0.9551578842015513,318.7695613906248,113.01421677516468,9.412635033292132,6.462871167977097,17,0.308968992710247,115.85155143098217,382.5234736687499,-31.79914997285327,-1.3860122775753552,-0.08551002917039341,0.1890679079928077
0,4,3,462.14593222680725,101.14536917480228,152.16032843682282,33,1.0122908057631599,437.59907519386024,1.009092971593931,1.0038983486200028,4,17.276753779379362,631.0973714060573,1.0497364138725476,90.02471089250562,582.277769169318,48.2780204313234,329.67362095304685,9,0,0,0,1,0,159.9579362531515,10,23,99.68652992888896,1.0061281512516103,1.0023428699357437,1.0521197216664153,1.0486143766081415,36.715680100107804,57,0.008133878879782456,no,458.7507602917101,0,0,0.4173983579152363,200.0,111.49633101318982,78.47198142692096,447.7682488315896,447.2266670261734,437.5894338906929,473.9260122838149,386.57447462867185,72.17628566303826,72.03833488438043,0.008672607906009357,123.04906047877449,0.013400895137193582,72.17628566303826,440.2969467796968,129.89947823298158,9.74516100261536,no,437.5990751938602,nn,0.031756304850662644,0.008332217970224206,0.9559976840897725,339.24245408393426,102.88238012365457,9.418313765573991,6.466233533786941,12,0.3085015012532419,123.04906047877449,407.0909449007211,-50.41969771706866,-33.14294393768866,-0.3274186629887481,0.9226802079406298
0,4,4,471.59307806943065,160.03842561186087,137.40606147844213,34,1.0078458832810595,451.86172832428963,1.0091280185618428,1.00287671358409,4,12.477656692691141,626.0616628478368,1.0392294151719434,141.34050792770148,559.4390510143883,54.70901355927117,338.7251874044719,10,0,4,0,1,0,160.08151626908207,16,18,159.89887014859622,1.0040758753491952,1.0017626272096578,1.0373535296021814,1.0407308405456137,50.50076326593541,58,0.0007588095761863493,no,470.75977309594185,0,0,0.4188972052262814,200.0,85.31737480642187,100.2938964946889,485.3589731159095,473.4453748417319,428.4658414806619,478.65926335159475,451.0982056140804,19.6615674818614,19.926951169194844,0.008672607906009357,126.36398623943447,0.0087689051480019,19.661567481861425,453.99684856470395,140.00047656308982,9.68219094000669,no,451.86172832428963,nn,0.029888530604510806,0.0007308926171129117,0.9616616053133364,349.8620740849046,163.98495387019378,9.408508340788716,6.460451311607622,13,0.28709999625098215,126.36398623943447,419.8344889018854,22.240510761117918,34.718167453807084,0.14643102106924744,-0.5382843933700769
0,5,0,455.596101184355,134.68018501559922,133.66174136099443,37,0.9986677602815978,426.55231325459255,1.0201609452852936,1.0133330536440748,4,16.568869503827983,648.7967144229563,1.0502773529263096,160.35333577290731,515.1938162504715,102.01468389679349,339.02446767854576,4,1,2,0,0,0,160.2053371868052,15,22,133.9669200640972,1.015493836721963,1.0121484444718767,1.0593704744472245,1.0442659329608448,37.145878766364824,70,-0.06611403868056594,no,453.1915495036335,0,0,0.4207165651861731,200.0,112.16185239003036,137.8772813072911,447.48434981369144,415.89613553800024,425.3191530576228,462.45266678820275,426.3375967122278,26.853952791405693,58.10272634047715,0.013118196616037284,134.63790685564655,0.012155252556583345,57.19770551612404,433.2604239271033,40.01794071607247,11.83823411125413,no,463.08961157995805,nn,0.03008902890589676,-0.1602893373563655,0.9322349664663075,385.9286168107625,155.74004629756945,11.325191335579088,7.823903905234856,17,0.3533686459254237,134.63790685564655,432.34345563372926,0.3977580858980332,16.966627589727338,0.37308242717520557,-0.9937679958819672
0,5,1,482.98190169347413,197.71290927849466,128.18050269994893,42,1.0100585105674609,453.0,1.0195614750378224,1.011888168600089,5,6.981492100477169,635.5455310322045,1.0488701515352388,168.8306465084954,682.2509755231007,57.1990977928981,396.97730403196044,6,0,3,0,1,0,200.29787839828927,24,18,218.2523280286657,1.0168804921195627,1.0050533483883284,1.0438203827559023,1.0554578951247477,109.13247622088656,78,-0.04264423374852789,no,480.0489932218044,0,0,0.413938109668735,203.76800592940975,115.71054427264983,126.8984031560931,483.38416249156234,587.2887047753572,373.7772299112308,482.6264983783904,443.3096364897763,36.73935673202805,59.623964779661435,0.013118196616037284,157.64278762505208,0.013479402060382345,58.49118004414471,460.1855693095737,100.06517677858142,11.334230810167872,no,539.4330146611036,nn,0.029131157019333123,-0.13316122172702427,0.9457228271408162,438.83949346502635,251.0317822829354,10.817780611174076,7.4610066630857785,19,0.3220479358145864,157.64278762505208,504.51454719207356,71.01563167830332,77.99712377878505,0.17673619032206034,1.3064889094355294
0,5,2,434.46763917053414,105.9947440917763,141.16006849493198,35,1.0083018603106597,404.9978633679683,1.015950140918459,1.0095710507406195,4,26.343024979420335,670.1023746225683,1.056310093495279,138.4561851857604,499.5562235333996,121.32565276237233,307.3309433093295,4,0,1,0,0,0,160.1832940888256,12,23,103.27227785235783,1.0052996246478632,1.0120452380941323,1.064624661561428,1.0519922500418606,36.301703055493796,66,-0.119867935677016,no,429.9615448336442,0,0,0.418870820515219,200.0,100.66052096185943,110.44544821342336,441.5603419205848,392.3398435937887,415.3119438785498,451.5793232941018,380.14661947539383,49.81492535825038,91.93877707265621,0.013118196616037284,128.67125793419646,0.013458191725213352,91.34199190781705,409.5103378919121,40,11.413166250225897,no,422.1076591163438,nn,0.031026388391424176,-0.21621743009582362,0.9383271444914624,361.3178650375305,123.63173855112255,10.790034360095376,7.470066904457594,12,0.33186494297980573,128.67125793419646,391.2713487538527,-35.21195988271266,-8.868934903292796,0.16073652312712738,-0.20737200268411016
0,5,3,460.9555363095949,103.78427147736699,142.8226661433105,39,1.0142435967979175,430.2657460459313,1.0165536690883132,1.0091037170781738,4,12.203123442534718,643.3004948485918,1.0624903646648016,123.17364083221507,538.9519660060257,47.34118655488339,318.9171272676121,6,0,2,0,0,0,160.1245764772862,12,27,104.12583493012207,1.0092306763894117,1.0090330377151502,1.0691833172323637,1.059082599257321,37.70260366402477,72,-0.21014662399378115,no,457.86297712508934,0,0,0.42272847579424927,200.0,121.15014189234073,97.78466284505161,460.89789325082614,403.8905509631444,426.2202397219363,463.92284338596176,387.181845055993,70.68113206909636,142.11054325658085,0.013118196616037284,146.53911987950417,0.01747030946776369,141.8240628348319,434.1110901524703,60,11.187233286143522,no,448.8218702249096,nn,0.0284545065945364,-0.3978122533565772,0.9382648079891152,404.56961827265343,125.99340461849468,10.56103850463611,7.382693866564501,22,0.3096220833307173,146.53911987950417,413.4452070428036,-39.38319998910811,-27.180076546574945,-0.3687861367241396,0.023980813559546732
0,5,4,506.24285413796076,149.15217006927347,145.4993012333249,41,1.0158757014955395,475.0,1.0151036370942024,1.009142082654062,4,-2.932887627535081,623.1287752202984,1.052137478109889,137.5303813385096,622.3458808894751,34.69440693719673,387.37228920447546,7,0,2,0,0,0,160.25192904813642,18,23,160.02524119605667,1.0102271361256643,1.008157461753368,1.044160686338307,1.0576308128734624,38.8448694541428,75,-0.03830720514740267,no,503.52525420253676,0,0,0.4188972052262814,207.43381890448433,136.66983970174718,113.34710369676826,457.57732548683856,491.4888380932127,460.276206753375,499.0949155738184,463.9290755893236,39.59617861321314,59.395110029659435,0.013118196616037284,160.85311734348855,0.016863209337389926,59.147986573236984,480.4077558632711,70.02556599980619,12.252660303412988,no,529.2978881749126,nn,0.027730176530350165,-0.06766431364396665,0.9510918032761095,427.8877236220793,186.66030863250643,11.683330037299715,8.050419892338367,16,0.31931714345947537,160.85311734348855,493.53831717730003,3.181770107619087,0.24888248008076452,-0.34176900390014,-0.12932972442933988
0,6,0,446.12359740458567,132.47827924941927,132.1873349544483,41,1.0039594224914108,411.0,1.0265313083831697,1.019118726383185,4,10.635010116777835,659.4317245397303,1.0592813679176032,106.79118971472094,596.6531665985439,85.47120939134345,348.36719762984364,4,0,1,0,0,0,160.37463267191245,16,25,119.77145928537549,1.0172545855767317,1.0223460448558204,1.0667265708286064,1.0543668491202955,36.51926095114462,78,-0.03682184291721137,no,443.23731525044775,0,0,0.4279898728443992,200.0,141.27689989186507,94.77836722343143,448.41357268701614,471.10622413717283,416.8763100952317,453.39022863770305,417.16725439020223,26.070060860245512,84.16130396107314,0.0151067615167693,153.2897223831546,0.0241512775200884,82.96805976966871,419.8795840358167,40,11.289954926192967,no,490.2015217852161,nn,0.029710437392747792,-0.0860803638030195,0.9222507619169923,430.27672172329295,166.65200468542247,10.547837375009241,7.341056483983814,13,0.3187343450281962,153.2897223831546,458.2293397274745,-0.9996479576390418,9.635362159139852,-0.7521569325260491,-0.5384353200839769
